airline_id,name,iata,icao,country_id,is_active
1,Private flight,-,N/A,,1
10,40-Mile Air,Q5,MLA,United States,1
100,Aerocon,,AEK,Bolivia,0
1000,AeroSucre,,KRE,Colombia,0
1001,Air Kokshetau,,KRT,Kazakhstan,0
1002,Air Kissari,,KSI,Angola,0
1003,Aeronavigaciya,,KTN,Ukraine,0
1004,Alliance Avia,,KVR,Kazakhstan,0
1005,Av Atlantic,,KYC,United States,0
1006,Air Astana,KC,KZR,Kazakhstan,1
10069,City-Air Germany,,CIP,Germany,0
1007,Aerovias De Lagos,,LAG,Mexico,0
1008,Albanian Airlines,LV,LBC,Albania,1
1009,Albisa,,LBI,Mexico,0
10094,Voronezhskie Airlanes,DN,,Russia,0
101,Aero Madrid,,AEM,Spain,0
1010,Albatros Airways,,LBW,Albania,0
1011,Aerolineas Aereas Ejecutivas De Durango,,LDG,Mexico,0
10114,Line Blue,L8,LBL,Germany,1
10117,FlyLAL Charters,,LLC,Lithuania,1
10118,Blue Sky America,BU,BKY,United States,0
10119,Texas Spirit,XS,TXP,United States,0
1012,Aerologic,,LDL,Russia,0
10121,Illinois Airways,IL,ILW,United States,0
10122,Salzburg arrows,SZ,,Austria,1
10123,Texas Wings,TQ,TXW,United States,1
10124,California Western,KT,CWS,United States,0
10128,Dennis Sky,DH,DSY,Israel,1
1013,Al-Donas Airlines,,LDN,Nigeria,0
1014,Aero Lider,,LDR,Mexico,0
1015,Aleem,,LEM,Egypt,0
1016,Aerolineas Ejecutivas,,LET,Mexico,0
1017,Air Alfa,,LFA,Turkey,1
1018,Aero Control Air,,LFC,Canada,0
1019,Aerolaguna,,LGN,Mexico,0
102,Aeroenlaces Nacionales,,AEN,Mexico,0
1020,Al Ahram Aviation,,LHR,Egypt,0
1021,Alidaunia,D4,LID,Italy,0
1022,Al-Dawood Air,,LIE,Nigeria,0
10224,Zz,ZZ,,Belgium,1
10226,Atifly,A1,A1F,United States,1
1023,American Aviation,,LKP,United States,0
1024,Airlink Solutions,,LKS,Spain,0
1025,Air Solutions,,LKY,United States,0
1026,Alliance Air,CD,LLR,India,0
1027,Aerolima,,LMA,Mexico,0
1028,Alamia Air,,LML,Libya,0
1029,Air Plus Argentina,,LMP,Argentina,0
103,Aeroservicios Ejecutivos Del Occidente,,AEO,Mexico,0
1030,Almaty Aviation,,LMT,Kazakhstan,0
1031,Aerolineas Mexicanas J S,,LMX,Mexico,0
10318,Air UK,UK,,United Kingdom,0
1032,Air Almaty,,LMY,Kazakhstan,0
