iata,name,city,country_id,latitude,longitude,altitude_ft,timezone
AAA,Anaa Airport,Anaa,French Polynesia,-17.35260009765625,-145.50999450683594,10,Pacific/Tahiti
AAC,El Arish International Airport,El Arish,Egypt,31.073299408,33.8358001709,121,Africa/Cairo
AAE,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,16,Africa/Algiers
AAF,Apalachicola Regional Airport,Apalachicola,United States,29.72750092,-85.02749634,20,America/New_York
AAH,Aachen-Merzbrück Airport,Aachen,Germany,50.823055267333984,6.186388969421387,623,Europe/Berlin
AAK,Buariki Airport,Buariki,Kiribati,0.1852779984474182,173.63699340820312,0,
AAL,Aalborg Airport,Aalborg,Denmark,57.0927589138,9.84924316406,10,Europe/Copenhagen
AAM,Malamala Airport,Malamala,South Africa,-24.818099975585938,31.544599533081055,1124,Africa/Johannesburg
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.261699676513672,55.60919952392578,869,Asia/Dubai
AAO,Anaco Airport,Anaco,Venezuela,9.430225372314453,-64.4707260131836,721,America/Caracas
AAP,Andrau Airpark,Houston,United States,29.722499847399998,-95.58830261230001,79,America/Chicago
AAQ,Anapa Vityazevo Airport,Anapa,Russia,45.002101898193,37.347301483154,174,Europe/Moscow
AAR,Aarhus Airport,Aarhus,Denmark,56.2999992371,10.619000434899998,82,Europe/Copenhagen
AAT,Altay Air Base,Altay,China,47.7498855591,88.08580780030002,2460,Asia/Shanghai
AAV,Allah Valley Airport,Surallah,Philippines,6.366819858551025,124.7509994506836,659,
AAX,Romeu Zema Airport,Araxa,Brazil,-19.563199996948,-46.960399627686,3276,America/Sao_Paulo
AAY,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,16.191699981689453,52.17499923706055,134,Asia/Aden
AAZ,Quezaltenango Airport,Quezaltenango,Guatemala,14.8656,-91.501999,7779,America/Guatemala
ABA,Abakan Airport,Abakan,Russia,53.7400016784668,91.38500213623047,831,Asia/Krasnoyarsk
ABB,Asaba International Airport,Asaba,Nigeria,6.204167,6.665278,305,Africa/Lagos
ABC,Albacete-Los Llanos Airport,Albacete,Spain,38.9485015869,-1.8635200262099998,2302,Europe/Madrid
ABD,Abadan Airport,Abadan,Iran,30.371099472,48.2282981873,10,Asia/Tehran
ABE,Lehigh Valley International Airport,Allentown,United States,40.652099609375,-75.44080352783203,393,America/New_York
ABF,Abaiang Airport,Abaiang Atoll,Kiribati,1.798609972000122,173.04100036621094,0,Pacific/Tarawa
ABH,Alpha Airport,Alpha,Australia,-23.646099,146.584,1255,
ABI,Abilene Regional Airport,Abilene,United States,32.4113006592,-99.68190002440001,1791,America/Chicago
ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209197998,-3.9262900352478027,21,Africa/Abidjan
ABK,Kabri Dehar Airport,Kabri Dehar,Ethiopia,6.734,44.252998,1800,Africa/Addis_Ababa
ABL,Ambler Airport,Ambler,United States,67.1063,-157.856989,334,America/Anchorage
ABM,Northern Peninsula Airport,Amberley,Australia,-10.9508,142.459,34,Australia/Brisbane
ABN,Albina Airport,Albina,Suriname,5.512720108032227,-54.05009841918945,19,America/Paramaribo
ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,5355,America/Denver
ABR,Aberdeen Regional Airport,Aberdeen,United States,45.449100494384766,-98.42179870605469,1302,America/Chicago
ABS,Abu Simbel Airport,Abu Simbel,Egypt,22.375999450699997,31.611700058,616,Africa/Cairo
ABT,Al Baha Airport,El-baha,Saudi Arabia,20.2961006165,41.6343002319,5486,Asia/Riyadh
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.006790161132812,7.263169765472412,1123,Africa/Lagos
ABX,Albury Airport,Albury,Australia,-36.06779861450195,146.95799255371094,539,Australia/Sydney
ABY,Southwest Georgia Regional Airport,Albany,United States,31.535499572753906,-84.19450378417969,197,America/New_York
ABZ,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.201900482177734,-2.197779893875122,215,Europe/London
ACA,General Juan N Alvarez International Airport,Acapulco,Mexico,16.757099151611328,-99.75399780273438,16,America/Mexico_City
ACC,Kotoka International Airport,Accra,Ghana,5.605189800262451,-0.16678600013256073,205,Africa/Accra
ACD,Alcides Fernández Airport,Acandi,Colombia,8.51667,-77.3,50,America/Bogota
ACE,Lanzarote Airport,Arrecife,Spain,28.945499,-13.6052,46,Atlantic/Canary
ACF,Brisbane Archerfield Airport,Brisbane,Australia,-27.5702991486,153.007995605,63,Australia/Brisbane
ACH,St Gallen Altenrhein Airport,Altenrhein,Switzerland,47.4850006104,9.560770034789998,1306,Europe/Zurich
ACI,Alderney Airport,Alderney,Guernsey,49.706104,-2.21472,290,Europe/Guernsey
ACJ,Anuradhapura Air Force Base,Anuradhapura,Sri Lanka,8.30148983002,80.42790222170001,324,Asia/Colombo
ACK,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355,47,America/New_York
ACN,Ciudad Acuña New International Airport,Ciudad Acuna,Mexico,29.332899,-101.098998,1410,America/Mexico_City
ACP,Sahand Airport,Maragheh,Iran,37.347999572753906,46.127899169921875,4396,Asia/Tehran
ACR,Araracuara Airport,Araracuara,Colombia,-0.5833,-72.4083,1250,America/Bogota
ACS,Achinsk Airport,Achinsk,Russia,56.2682991027832,90.57080078125,1033,
ACT,Waco Regional Airport,Waco,United States,31.611299514770508,-97.23049926757812,516,America/Chicago
ACV,California Redwood Coast-Humboldt County Airport,Arcata CA,United States,40.978101,-124.109,221,America/Los_Angeles
ACX,Xingyi Airport,Xingyi,China,25.0863888889,104.959444444,4150,Asia/Shanghai
ACY,Atlantic City International Airport,Atlantic City,United States,39.45759963989258,-74.57720184326172,75,America/New_York
ACZ,Zabol Airport,Zabol,Iran,31.09830093383789,61.54389953613281,1628,Asia/Tehran
ADA,Adana Airport,Adana,Turkey,36.9822006226,35.280399322499996,65,Europe/Istanbul
ADB,Adnan Menderes International Airport,Izmir,Turkey,38.2924003601,27.156999588,412,Europe/Istanbul
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,8.97789001465,38.799301147499996,7630,Africa/Addis_Ababa
ADE,Aden International Airport,Aden,Yemen,12.829500198364258,45.02880096435547,7,Asia/Aden
ADF,Adıyaman Airport,Adiyaman,Turkey,37.7313995361,38.4688987732,2216,Europe/Istanbul
ADH,Aldan Airport,Aldan,Russia,58.60279846191406,125.40899658203125,2241,Asia/Yakutsk
ADI,Arandis Airport,Arandis,Namibia,-22.462200164794922,14.979999542236328,1905,
ADJ,Amman-Marka International Airport,Amman,Jordan,31.972700119018555,35.991600036621094,2555,Asia/Amman
ADK,Adak Airport,Adak Island,United States,51.87799835205078,-176.64599609375,18,America/Adak
ADL,Adelaide International Airport,Adelaide,Australia,-34.945,138.531006,20,Australia/Adelaide
ADM,Ardmore Municipal Airport,Ardmore,United States,34.30301,-97.0196342,777,America/Chicago
ADP,Ampara Airport,Galoya,Sri Lanka,7.33776,81.62594,150,Asia/Colombo
ADQ,Kodiak Airport,Kodiak,United States,57.75,-152.4940033,78,America/Anchorage
