country_id,country_name
 Boonville Stage Line, Boonville Stage Line
 S.A., S.A.
ACOM,ACOM
ACTIVE AERO,ACTIVE AERO
AEROCENTER,AEROCENTER
AEROCESAR,AEROCESAR
AEROPERLAS,AEROPERLAS
AEROPUMA,AEROPUMA
AEROSOL,AEROSOL
AEROSUN,AEROSUN
AEROVARADERO,AEROVARADERO
AEROWEE,AEROWEE
AIR CLASS,AIR CLASS
AIR FREIGHTER,AIR FREIGHTER
AIR PRINT,AIR PRINT
AIR-MAUR,AIR-MAUR
AIREX,AIREX
AIRFLIGHT,AIRFLIGHT
AIRMAN,AIRMAN
AIRNAT,AIRNAT
AIRPAC,AIRPAC
AIRPORT HELICOPTER,AIRPORT HELICOPTER
AIRWAVE,AIRWAVE
ALAMO,ALAMO
ALASKA,ALASKA
ALASKA PACIFIC,ALASKA PACIFIC
ALCON,ALCON
ALDAWLYH AIR,ALDAWLYH AIR
ALL STAR,ALL STAR
ALNACIONAL,ALNACIONAL
ANTARES,ANTARES
APPALACHIAN,APPALACHIAN
AQUILINE,AQUILINE
ARIZAIR,ARIZAIR
ARMSTRONG,ARMSTRONG
ASA PESADA,ASA PESADA
ASTORIA,ASTORIA
ASUR,ASUR
ATCO,ATCO
ATLANTIC NICARAGUA,ATLANTIC NICARAGUA
ATLANTIS CANADA,ATLANTIS CANADA
AUDI AIR,AUDI AIR
AURORA AIR,AURORA AIR
AUSA,AUSA
AVEMEX,AVEMEX
AVIANCA,AVIANCA
AVINOR,AVINOR
AVIOQUINTANA,AVIOQUINTANA
AZIMUT,AZIMUT
Afghanistan,Afghanistan
Air S,Air S
Albania,Albania
Algeria,Algeria
American Samoa,American Samoa
Angola,Angola
Anguilla,Anguilla
Antarctica,Antarctica
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British Indian Ocean Territory,British Indian Ocean Territory
British Virgin Islands,British Virgin Islands
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burma,Burma
Burundi,Burundi
COMPANY AS,COMPANY AS
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Canadian Territories,Canadian Territories
Cape Verde,Cape Verde
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Christmas Island,Christmas Island
Cocos (Keeling) Islands,Cocos (Keeling) Islands
Colombia,Colombia
Comoros,Comoros
Congo (Brazzaville),Congo (Brazzaville)
Congo (Kinshasa),Congo (Kinshasa)
Cook Islands,Cook Islands
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czech Republic
DRAGON,DRAGON
Democratic People's Republic of Korea,Democratic People's Republic of Korea
Democratic Republic of Congo,Democratic Republic of Congo
Democratic Republic of the Congo,Democratic Republic of the Congo
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
East Timor,East Timor
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Falkland Islands,Falkland Islands
Faroe Islands,Faroe Islands
Fiji,Fiji
Finland,Finland
France,France
French Guiana,French Guiana
French Polynesia,French Polynesia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,Hong Kong
Hong Kong SAR of China,Hong Kong SAR of China
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Isle of Man,Isle of Man
Israel,Israel
Italy,Italy
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jersey,Jersey
Johnston Atoll,Johnston Atoll
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
LAP,LAP
Lao Peoples Democratic Republic,Lao Peoples Democratic Republic
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Lithuania,Lithuania
Luxembourg,Luxembourg
Macao,Macao
Macau,Macau
Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
