pair_id,src_iata,dst_iata,airline_count,airlines,distance_km,is_domestic
KZN-LED,KZN,LED,3,"2B,FV,SU",1217,1
NBC-LED,NBC,LED,1,2B,1373,1
UUA-LED,UUA,LED,1,2B,1464,1
AYP-LIM,AYP,LIM,2,"2I,W4",340,1
CUZ-LIM,CUZ,LIM,4,"2I,AM,LA,P9",586,1
HUU-LIM,HUU,LIM,2,"2I,W4",258,1
PCL-LIM,PCL,LIM,3,"2I,LA,P9",491,1
TPP-LIM,TPP,LIM,3,"2I,LA,P9",618,1
GVA-LPA,GVA,LPA,1,2L,2771,0
ZRH-LPA,ZRH,LPA,3,"2L,AB,LX",3001,0
POR-KOK,POR,KOK,1,2N,260,1
BSO-MNL,BSO,MNL,2,"2P,PR",669,1
BXU-MNL,BXU,MNL,3,"2P,5J,PR",786,1
CBO-MNL,CBO,MNL,3,"2P,5J,PR",888,1
CGY-MNL,CGY,MNL,3,"2P,5J,PR",755,1
CRM-MNL,CRM,MNL,2,"2P,PR",450,1
DGT-MNL,DGT,MNL,3,"2P,5J,PR",627,1
DWC-MNL,DWC,MNL,2,"2P,PR",6929,0
GES-MNL,GES,MNL,3,"2P,5J,PR",1040,1
KLO-MNL,KLO,MNL,6,"2P,5J,DG,PQ,PR,Z2",347,1
LGP-MNL,LGP,MNL,3,"2P,5J,PR",329,1
MNL-GES,MNL,GES,3,"2P,5J,PR",1040,1
MNL-RXS,MNL,RXS,3,"2P,5J,PR",374,1
MPH-MNL,MPH,MNL,3,"2P,5J,PR",305,1
OZC-MNL,OZC,MNL,3,"2P,5J,PR",768,1
PPS-MNL,PPS,MNL,5,"2P,5J,DG,PR,Z2",584,1
RXS-MNL,RXS,MNL,3,"2P,5J,PR",374,1
SUG-MNL,SUG,MNL,2,"2P,PR",717,1
TUG-MNL,TUG,MNL,3,"2P,5J,PR",357,1
ZAM-MNL,ZAM,MNL,3,"2P,5J,PR",851,1
BSB-BRA,BSB,BRA,3,"2Z,AD,Y8",526,1
GYN-CGB,GYN,CGB,3,"2Z,AD,Y8",745,1
OPS-CGB,OPS,CGB,2,"2Z,AD",423,1
SSA-BRA,SSA,BRA,3,"2Z,AD,Y8",732,1
YPJ-YKG,YPJ,YKG,1,3H,84,1
YQC-YKG,YQC,YKG,1,3H,115,1
YVP-YKG,YVP,YKG,1,3H,233,1
KIX-MNL,KIX,MNL,3,"3K,5J,PR",2635,0
SIN-MNL,SIN,MNL,5,"3K,5J,PR,SQ,TR",2375,0
NDR-CGN,NDR,CGN,2,"3O,4U",1946,0
ASF-LED,ASF,LED,1,3R,1902,1
CUR-SDQ,CUR,SDQ,3,"3S,7I,WM",698,0
FDF-SDQ,FDF,SDQ,2,"3S,AF",1017,0
PTP-SDQ,PTP,SDQ,3,"3S,AF,TX",896,0
SXM-SDQ,SXM,SDQ,3,"3S,7I,WM",694,0
CGQ-TNA,CGQ,TNA,5,"3U,CA,CZ,EU,SC",1068,1
CKG-DYG,CKG,DYG,2,"3U,BK",374,1
CKG-LXA,CKG,LXA,8,"3U,AF,CA,CZ,MF,PN,TV,ZH",1522,1
CKG-PZI,CKG,PZI,1,3U,592,1
CKG-SYD,CKG,SYD,1,3U,8485,0
